scientific_name	common_name	genomic_range	location	transcript_accession	transcript_length	transcript_cds_coords	protein_accession	protein_length
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315962.1	3770	XM_054315962.1:45-3551	XP_054171937.1	1168
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315960.1	3866	XM_054315960.1:45-3647	XP_054171935.1	1200
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	NM_001425072.1	3650	NM_001425072.1:45-3431	NP_001412001.1	1128
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	NM_001425071.1	3725	NM_001425071.1:45-3506	NP_001412000.1	1153
Pan troglodytes	chimpanzee	NC_072417.2:14235427-14320939	chr 17	XM_009431609.5	3864	XM_009431609.5:55-3645	XP_009429884.4	1196
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_022423485.2	4170	XM_022423485.2:577-4086	XP_022279193.1	1169
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_022423488.2	4212	XM_022423488.2:587-3988	XP_022279196.1	1133
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_014116854.3	3982	XM_014116854.3:252-3758	XP_013972329.2	1168
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038548564.1	4170	XM_038548564.1:577-4086	XP_038404492.1	1169
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038548566.1	4213	XM_038548566.1:587-3988	XP_038404494.1	1133
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038548565.1	3983	XM_038548565.1:252-3758	XP_038404493.1	1168
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038612505.1	4170	XM_038612505.1:577-4086	XP_038468433.1	1169
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038612507.1	4212	XM_038612507.1:587-3988	XP_038468435.1	1133
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038612506.1	3983	XM_038612506.1:253-3759	XP_038468434.1	1168
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038486697.1	4170	XM_038486697.1:577-4086	XP_038342625.1	1169
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038486699.1	4212	XM_038486699.1:587-3988	XP_038342627.1	1133
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038486698.1	3982	XM_038486698.1:252-3758	XP_038342626.1	1168
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038677781.1	4170	XM_038677781.1:577-4086	XP_038533709.1	1169
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038677783.1	4213	XM_038677783.1:587-3988	XP_038533711.1	1133
Canis lupus familiaris	dog	NC_051813.1:48377007-48441856;NC_049269.1:47154687-47219366;NC_049750.1:47443915-47508339;NC_049230.1:47499773-47564748;NC_006591.4:46693946-46758709	chr 9	XM_038677782.1	3983	XM_038677782.1:252-3758	XP_038533710.1	1168
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043983.1	4100	XM_045043983.1:99-3626	XP_044899918.1	1175
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043979.1	3893	XM_045043979.1:99-3659	XP_044899914.1	1186
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043986.1	3788	XM_045043986.1:99-3554	XP_044899921.1	1151
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043985.1	3797	XM_045043985.1:99-3563	XP_044899920.1	1154
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043990.1	3692	XM_045043990.1:99-3458	XP_044899925.1	1119
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043989.1	3752	XM_045043989.1:99-3518	XP_044899924.1	1139
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043984.1	3839	XM_045043984.1:99-3605	XP_044899919.1	1168
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043982.1	3878	XM_045043982.1:99-3644	XP_044899917.1	1181
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_019816881.3	3824	XM_019816881.3:99-3590	XP_019672440.2	1163
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043980.1	4455	XM_045043980.1:664-4221	XP_044899915.1	1185
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	NM_001009219.1	3739	NM_001009219.1:1-3483	NP_001009219.1	1160
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043981.1	3849	XM_045043981.1:67-3615	XP_044899916.1	1182
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043987.1	3837	XM_045043987.1:166-3603	XP_044899922.1	1145
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043988.1	3819	XM_045043988.1:163-3585	XP_044899923.1	1140
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XM_045043991.1	3554	XM_045043991.1:108-3320	XP_044899926.1	1070
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XR_006589262.1	5137			
Felis catus	domestic cat	NC_058381.1:13355596-13431218	chr E1	XR_006589263.1	3051			
Macaca mulatta	Rhesus monkey	NC_041769.1:3494394-3585814	chr 16	XM_028835893.1	5878	XM_028835893.1:2066-5659	XP_028691726.1	1197
Macaca mulatta	Rhesus monkey	NC_041769.1:3494394-3585814	chr 16	XM_015118252.2	6323	XM_015118252.2:2511-6104	XP_014973738.2	1197
Rattus norvegicus	Norway rat	NC_086028.1:58203331-58262606	chr 10	XM_039086945.1	3717	XM_039086945.1:86-3499	XP_038942873.1	1137
Rattus norvegicus	Norway rat	NC_086028.1:58203331-58262606	chr 10	NM_031768.3	3776	NM_031768.3:49-3558	NP_113956.2	1169
